commodity_code,trade_value_usd
670290,6461877
670300,37462
670411,7142399
670419,11814
670420,80400
680221,67881
680223,144568
680293,1708712
680299,25724
680421,122336
680423,409
680430,3024
680710,66528
681019,300
681099,2350510
681140,1580
681280,27521
690721,511
690730,21505
690740,30368
691110,101180
691190,2890
691200,20828
691310,75816
691410,113724
691490,310
700100,48949
700711,549
700992,162062
701090,190
701337,283
701939,8869
701940,20642
701952,35845
701959,2138988
701990,5471850
710231,26929898
710239,133617
710812,3011284884
711292,349581
711411,150
711719,99
711790,1264
720421,19700
720429,5796
720430,94500
720839,95493
721012,22698
721020,412
722219,60
722220,2417
722410,4452421
722620,821076
722699,747532
722870,45610
730120,1785
730290,17400
730300,1149956
730419,222
730431,3332959
730490,300188
730531,17851
730590,26786
730630,1180734
730711,700327
730719,1796789
730722,31820
730792,1697687
730793,6608425
730799,9
730830,100442
730840,2022671
730890,434664
730900,20000
731010,8511138
731029,222207
731100,186341
731210,10180
731290,93743
731300,80
731449,5184122
731511,8561
731582,56
731589,962
731700,115980
731812,3209
731815,6000
731816,43
731822,86
731823,61732
731829,193
732119,43346
732394,2881122
732399,4488586
732599,1101
732619,1029
732620,136686
732690,4362075
740100,23534192
740200,33446344
740313,117700
740400,337448
740811,122472
741533,3069
741999,13170
760120,7090368
760200,18422321
760320,158405
760410,39000
760612,89146
760719,19552
760820,8729008
761010,82354
761090,359517
761290,1460471
761300,14452
761510,64797
761520,2640
761699,7016013
780110,525000
780199,606800
790700,3083
820110,111090
820240,3
820320,4
820330,18
820340,2024
820412,18
820510,7
820540,14
820559,2076
820570,3540
820590,298643
820600,1480
820719,28200
820750,6077
820790,4468
820810,1418
820890,1873
821000,2592
821192,60417
821193,81056
821300,18751
821490,39161
830140,5641
830210,176
830241,2408275
830242,8
830249,690256
830250,2501
830400,772
830510,1071270
830590,25101
830610,118
830629,90350
830810,93477
830820,6700
830890,190088
830990,6869961
831000,10023
831110,115
840212,5000
840219,70000
840733,8493
840734,3712
840790,114
840820,57788
840991,19
840999,1800
841330,418
841370,30160
841420,5006
841440,124730
841451,950
841459,35445913
841460,5627
841480,25134
841490,3732
841510,3108
841590,3455105
841780,5465
841829,21990
841899,200
841950,530239
842121,16985
842129,20653
842139,1176221
842199,885229
842240,1760
842290,1187311
842382,82
842390,232
842410,963
842420,330
842430,5944
842489,1586
842490,88
842519,25815
842531,4000
842539,21897
842542,33775
842612,615
842619,16000
842699,14000
842720,5000
842790,35177
842810,33500
842820,658
842832,10524
842839,43319
842840,132
842890,2901
842952,1297692
843010,56400
843041,458500
843049,290
843110,45670
843141,10006
843143,80823
843149,270
843210,1863
843229,16800
843239,30000
843280,5003
843319,71
843351,1094329
844110,95930
844180,5296
844190,1683
844250,6100
844316,9311
844319,5205
844331,99400
844332,1800
844339,14696
844399,38501
844400,220
844513,36840
844540,300
844590,750
844610,4910
844629,264
844711,3937489
844720,756884
844790,509241
845019,16370
845090,894
845110,6800
845121,3000
845129,30142
845130,334628
845140,35235
845150,785751
845180,92239
845190,99716
845221,527830
845229,1083372
845290,3867
845310,1.00E+05
845380,3445
845510,150
845522,32220
845929,25
846150,2355
846190,46250
846210,22561
846229,289290
846249,7600
846291,3000
846510,11900
846593,6000
846596,90
846620,5609
846693,9670
846694,30210
846721,571
846729,149628
846789,4606
846792,888
846880,13840
847010,24900
847021,1271210
847130,146604
847141,3948
847150,13726
847160,709468
847170,9442
847190,266571
847330,95234793
847490,142000
847629,72862
847710,11413
847730,31500
847780,23792
847790,43894
847910,6088
847989,945058
848030,210532
848071,85407
848079,257726
848110,71
848180,385
848210,12385771
848299,18
848310,19955
848350,12476
848390,840
848610,3000
848790,2445296
850110,61541001
850120,2611
850152,1000
850212,27775
850213,500
850300,2424329
850421,306679
850422,1881457
850431,995689
850440,33452937
850450,699293
850490,263576
850519,396
850680,5320
850710,4170
850720,2930
850760,495580
850790,5570
850819,909
850870,110700
850980,39791267
851120,4842426
851180,11501966
851190,1868657
851210,43139
851420,329894
851490,1271913
851519,21292
851590,20220
851631,3990246
851632,777354
851640,14
851660,28053
851679,11189
851718,742
851762,204648
851769,1070
851770,26184799
851821,16554
851850,18473
852349,24
852352,10350
852580,1686314
852852,1200
852871,443515
852990,641578
853110,12856
853180,1248795
853190,41492
853321,4601693
853340,134720
853400,6783934
853590,25132
853610,4350
853650,7911668
853661,130140
853669,5677829
853670,943361
853690,45153400
853710,983829
853720,42424
853810,586
853890,3993720
853910,65
853921,1153
853929,321067
853950,368616
854140,155322577
854160,73677
854190,54832
854231,37516
854233,558446
854239,8066841
854290,934398
854320,232888
854330,1055
854370,5081273
854390,627231
854411,1344246
854419,412376
854420,47437
854430,183533379
854442,21966075
854449,109481751
854460,5287
860900,20347
870191,125313
870340,250000
870421,1250
870790,4800
870810,1814362
870829,46450
870850,4235
870880,1
870891,7570313
870892,34675
870895,6187
870899,6855497
871120,5742
871150,1200
871160,4329191
871200,529693634
871410,671556
871420,6
871491,5993002
871492,1276272
871493,302276
871494,100684
871495,8310
871496,57179
871499,98938
871639,850
871680,147343
871690,3360
880330,15100
890310,928658
890399,1875860
890790,450
900110,50
900150,1045
900311,1749754
900319,227773
900390,1124081
900410,813055
900490,65450
901780,234676
901812,12000
901819,5120
901831,13065
901890,1131909
901920,3250
902000,74155
902110,6114
902230,28052
902300,20065
902410,8000
902480,20251
902519,480
902580,2000
902590,430025
902610,30
902620,5747
902680,484
902710,25
902780,2679
902790,99971
903084,31675
903089,52830
903090,19531
903120,788
903149,6391
903180,65879
903300,38472
910219,15000
910299,10044
910690,118260
910910,76705
910990,10922
911190,4788939
911320,1845977
911390,1458
920190,216614
920890,2
940152,31368
940159,70856920
940161,4200890
940169,29047082
940171,834330
940179,799
940180,165003
940190,10611941
940290,904
940310,222114
940320,33588118
940330,399356
940340,34184176
940350,899
940360,18279486
940370,250
940382,73904
940389,266076
940390,934067
940410,44730797
940421,3363890
940429,6402092
940430,3343084
940490,6931046
940510,1473867
940520,3975635
940530,261614552
940540,99273043
940592,4265
940599,390036
940610,6689
940690,3169077
950300,13440121
950420,7174
950430,53785
950450,8909115
950490,158680
950510,23691263
950590,1117784
950619,294971
950629,286539
950632,27883
950639,42936
950659,1574536
950662,2240249
950669,6603088
950670,4131272
950691,19582
950699,633659
950720,3240113
950790,687184
960310,1083257
960330,129920
960340,6021533
960350,8627
960390,6051147
960500,2434564
960610,57987
960621,101462
960622,17294
960629,9330
960711,146654
960719,457821
960720,44630
960810,2268
960820,27
960891,15
961511,3767
961519,409072
961590,117530
961620,2092494
961700,13065
961900,56403
970110,57793
970300,213092
999999,1688406
